1;0,15;;;97;14,85;;;2;0,3;24;3,67;2;0,3;;;;;1;0,15;77;11,79;36;5,51;1;0,15;2;0,3;;;112;17,15;27;4,13;6;0,91;17;2,6;37;5,66;2;0,3;;;209;32
1;0,10;;;157;16,49;2;0,21;3;0,31;36;3,78;8;0,84;;;;;;;113;11,86;45;4,72;1;0,1;;;5;0,52;143;15,02;38;3,99;15;1,57;35;3,67;65;6,82;2;0,21;;;283;29,72
5;0,63;;;101;12,76;;;3;0,37;46;5,81;7;0,88;;;;;2;0,25;92;11,63;37;4,67;1;0,12;3;0,37;7;0,88;140;17,69;28;3,53;6;0,75;17;2,14;57;7,2;5;0,63;2;0,25;232;29,32
;;;;103;14,56;;;3;0,42;42;5,94;2;0,28;;;;;;;74;10,46;29;4,1;1;0,14;1;0,14;3;0,42;124;17,53;32;4,52;3;0,42;13;1,83;50;7,07;5;0,7;2;0,28;220;31,11
1;0,13;1;0,13;96;13,11;;;;;25;3,41;8;1,09;;;;;1;0,13;87;11,88;36;4,91;;;;;3;0,4;130;17,75;29;3,96;11;1,5;14;1,91;53;7,24;9;1,22;1;0,13;227;31,01
;;;;76;11,63;;;;;31;4,74;3;0,45;;;;;1;0,15;86;13,16;30;4,59;;;1;0,15;3;0,45;113;17,3;37;5,66;10;1,53;28;4,28;41;6,27;8;1,22;1;0,15;184;28,17
1;0,13;;;112;14,71;;;;;24;3,15;4;0,52;1;0,13;;;;;120;15,76;28;3,67;;;1;0,13;2;0,26;100;13,14;28;3,67;4;0,52;20;2,62;59;7,75;14;1,83;2;0,26;241;31,66
;;1;0,13;101;13,81;;;1;0,13;27;3,69;7;0,95;2;0,27;;;;;72;9,84;34;4,65;1;0,13;;;2;0,27;121;16,55;34;4,65;11;1,5;22;3;41;5,6;9;1,23;4;0,54;241;32,96
;;;;91;12,69;1;0,13;1;0,13;15;2,09;2;0,27;2;0,27;;;;;100;13,94;32;4,46;;;;;5;0,69;134;18,68;74;10,32;8;1,11;23;3,2;41;5,71;8;1,11;1;0,13;179;24,96
1;0,14;;;98;14,04;1;0,14;1;0,14;23;3,29;6;0,85;;;;;1;0,14;94;13,46;32;4,58;3;0,42;;;3;0,42;115;16,47;31;4,44;9;1,28;18;2,57;47;6,73;5;0,71;;;210;30,08
5;0,79;;;78;12,42;;;1;0,15;53;8,43;3;0,47;1;0,15;1;0,15;;;96;15,28;38;6,05;1;0,15;;;3;0,47;84;13,37;38;6,05;15;2,38;11;1,75;25;3,98;42;6,68;3;0,47;130;20,7
;;;;88;13,21;;;1;0,15;43;6,45;2;0,3;;;2;0,3;;;165;24,77;13;1,95;1;0,15;1;0,15;;;81;12,16;11;1,65;9;1,35;25;3,75;22;3,3;63;9,45;;;139;20,87
