1069;281;52545;217;770;27672;2687;289;123;270;30637;22531;336;1352;1617;71770;14569;4860;17454;24121;3716;663;90548;
1214;333;31848;195;470;18498;1702;182;430;256;31763;16474;188;1395;990;62811;10690;1737;18784;12604;31440;228;28925;
1572;448;29807;235;502;23307;2468;200;19;377;5960;33443;327;2475;645;107776;12910;2410;26488;17074;70;339;34407;
1951;377;26907;221;540;20185;1920;146;765;298;40573;25098;285;1515;446;87808;10759;1989;22203;13292;40118;334;28718;
1927;502;39887;219;639;22389;2397;244;36;506;6367;45748;399;2065;741;113322;21772;2624;35124;22985;83;454;39231;
3378;795;28010;256;1369;17586;2189;195;439;446;19716;28382;446;2508;721;86467;8942;2557;30902;14159;14341;462;31292;
3949;1116;42657;342;1101;20929;2163;276;65;617;9134;31481;790;2798;985;116396;31885;2619;33307;20452;129;575;28981;
3785;706;35817;312;1126;22277;2008;245;549;411;25275;22209;653;2169;788;91069;17328;2975;25462;21352;15580;539;33144;
0;1;133;1;5;17;7;0;0;1;168;20;4;1;5;62;53;14;55;166;18;1;312;
